student_id,item_id,question_type,scale_name,axis_tag,analysis_group,raw_score,score_rc,response_ms,response_time_sec,reverse_item,min_score,max_score,weight,current_level_grade,current_math_percentile,answered_at
04d9e896-a579-4e67-ad48-bd844d88a1ef,039091ed-0d7b-4e55-9d29-4e05f1b3b9d2,scale,scale_039091ed,anxiety,core_scale,7.0,4.0,6457.0,6.457,Y,1.0,10.0,1.0,3,,2026-02-01 02:39:01.439310+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,0975ef15-3056-4dbf-a4cc-7bc50b391c9b,scale,scale_0975ef15,efficacy,core_scale,7.0,7.0,8053.0,8.053,N,1.0,10.0,1.0,3,,2026-02-01 02:39:41.948570+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,1c6546cb-979e-44d0-b257-1cbf86a17b9c,scale,scale_1c6546cb,efficacy,core_scale,9.0,9.0,4622.0,4.622,N,1.0,10.0,1.0,3,,2026-02-01 02:37:57.510125+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,22100387-9306-4eb0-aadc-2e835e040462,scale,scale_22100387,efficacy,core_scale,8.0,8.0,5912.0,5.912,N,1.0,10.0,1.0,3,,2026-02-01 02:40:37.398507+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,25079046-d422-40c6-9e41-e62d8cc6f82f,scale,scale_25079046,efficacy,core_scale,9.0,9.0,2086.0,2.086,N,1.0,10.0,1.0,3,,2026-02-01 02:39:23.447417+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,270401a4-823e-4aa7-ad8e-15354d395684,scale,scale_270401a4,efficacy,core_scale,5.0,5.0,2846.0,2.846,N,1.0,10.0,1.0,3,,2026-02-01 02:40:40.340760+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,28974e26-cb80-4db5-870a-b3dfeabf58c9,scale,scale_28974e26,efficacy,core_scale,4.0,7.0,5425.0,5.425,Y,1.0,10.0,1.0,3,,2026-02-01 02:38:54.899218+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,3b84269c-8975-40b2-a9e5-ccc99f3006e3,scale,scale_3b84269c,efficacy,core_scale,8.0,3.0,5203.0,5.203,Y,1.0,10.0,1.0,3,,2026-02-01 02:39:13.918995+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,3e0773f0-81dc-4807-b04b-74eda65090e2,scale,scale_3e0773f0,efficacy,core_scale,6.0,6.0,7269.0,7.269,N,1.0,10.0,1.0,3,,2026-02-01 02:38:15.892391+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,409e0aff-0db4-45f9-ad76-0ed5856589ea,scale,scale_409e0aff,efficacy,core_scale,8.0,8.0,3587.0,3.587,N,1.0,10.0,1.0,3,,2026-02-01 02:38:01.190659+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,586d16f6-be5e-43a8-8739-862118457042,scale,scale_586d16f6,efficacy,core_scale,7.0,7.0,7188.0,7.188,N,1.0,10.0,1.0,3,,2026-02-01 02:38:08.461666+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,5f93db2e-a862-4382-9c0e-58153137a67a,scale,scale_5f93db2e,efficacy,core_scale,9.0,9.0,3611.0,3.611,N,1.0,10.0,1.0,3,,2026-02-01 02:40:31.375778+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,693afd33-f3d4-4d3d-bf2d-220383f41d53,scale,scale_693afd33,efficacy,core_scale,7.0,4.0,4494.0,4.494,Y,1.0,10.0,1.0,3,,2026-02-01 02:41:05.955157+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,778ab9c4-a45c-4199-a7e2-8db73a800397,scale,scale_778ab9c4,efficacy,core_scale,8.0,8.0,6459.0,6.459,N,1.0,10.0,1.0,3,,2026-02-01 02:37:52.781310+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,8b76f724-ab48-40e8-92ce-883e5b5bb642,scale,scale_8b76f724,efficacy,core_scale,6.0,6.0,2397.0,2.397,N,1.0,10.0,1.0,3,,2026-02-01 02:38:49.273627+00:00
04d9e896-a579-4e67-ad48-bd844d88a1ef,8ee73918-7964-4d0e-8ca3-aa60a74bebdf,scale,scale_8ee73918,efficacy,core_scale,3.0,8.0,3982.0,3.982,Y,1.0,10.0,1.0,3,,2026-02-01 02:40:51.524648+00:00
